LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,617,Burke County,288,Burke County High School,All Students,Mathematics,1267239,84799,168,168,490,421,421
2010-11,617,Burke County,288,Burke County High School,All Students,Reading,1267239,84686,165,165,486,425,425
2010-11,617,Burke County,288,Burke County High School,All Students,Writing,1267239,84548,167,167,474,422,422
2010-11,618,Butts County,190,Jackson High School,All Students,Combined,1267239,84678,136,136,1451,1344,1344
2010-11,618,Butts County,190,Jackson High School,All Students,Mathematics,1267239,84799,135,135,490,445,445
2010-11,618,Butts County,190,Jackson High School,All Students,Reading,1267239,84686,135,135,486,462,462
2010-11,618,Butts County,190,Jackson High School,All Students,Writing,1267239,84548,137,137,474,437,437
2010-11,619,Calhoun County,203,Calhoun County High School,All Students,Combined,1267239,84678,25,25,1451,1221,1221
2010-11,619,Calhoun County,203,Calhoun County High School,All Students,Mathematics,1267239,84799,26,26,490,392,392
2010-11,619,Calhoun County,203,Calhoun County High School,All Students,Reading,1267239,84686,25,25,486,425,425
2010-11,619,Calhoun County,203,Calhoun County High School,All Students,Writing,1267239,84548,25,25,474,405,405
2010-11,620,Camden County,295,Camden County High School,All Students,Combined,1267239,84678,403,403,1451,1489,1489
2010-11,620,Camden County,295,Camden County High School,All Students,Mathematics,1267239,84799,401,401,490,502,502
2010-11,620,Camden County,295,Camden County High School,All Students,Reading,1267239,84686,405,405,486,503,503
2010-11,620,Camden County,295,Camden County High School,All Students,Writing,1267239,84548,402,402,474,483,483
2010-11,621,Candler County,101,Metter High School,All Students,Combined,1267239,84678,90,90,1451,1339,1339
